作者,题名,文献来源,年,期,页码,关键词,机构
田建尔,理性启蒙意义略论,北京大学学报,2000,S1,33-39,理性;启蒙;非理性;反理性;弘扬理性,北京大学哲学系!访问学者
苏丽敏;张锐;邵华,略论奥林匹克思想及其对中国近现代学校体育思想的影响,北京体育大学学报,2000,2,226-230+233,奥林匹克;学校体育;中国;近现代;思想,"北京体育大学出版社!北京 100084,北京大学!北京 100871,中央教科所!北京 100088"
张延杰,20世纪60年代美国环境保护意识的产生,东北师大学报,2000,4,22-27,环境保护意识;生态学;自然资源保护运动;土地伦理;环境保护运动,东北师范大学历史系!吉林长春130024
张俊芳,社会文化心态的意识定位,东北师大学报,2000,5,62-66,社会文化心态;社会层级结构;社会普通意识;中介意识,大连海事大学社会科学系!辽宁大连116026
翁礼明,两难的选择　双重的绝望 ──解开哈姆莱特的延宕之谜,四川大学学报(哲学社会科学版),2000,2,118-120,哈姆莱特;延宕;基督教神学;人文主义,四川大学中文系!四川成都６１００６４
王忠阁,论至元、大德间诗风之转变,文学评论,2000,3,92-102,平淡自然;陈与义;四灵诗派;至元;戴表元;陈简斋;诗序;诗歌理论;元诗选;江西诗派;,信阳师范学院中文系
胡锦山,20世纪美国史学流派,厦门大学学报(哲学社会科学版),2000,3,74-81,美国史;史学流派,厦门大学历史系!福建厦门361005
刘中民,伊斯兰复兴运动与当代埃及,西亚非洲,2000,3,24-28+76,伊斯兰复兴运动;埃及;现代化,
尹力 ;王新中 ;张国飞,以推动公民素质的提高为己任——中国电视法制节目的使命,中国记者,2000,6,26-27,电视法制节目;公民素质;传播活动;中国电视人;社会形势;道德思想;法律意识;名牌栏目;社会舆论环境;日高;,
邢贲思;江涛,当代西方思潮评析,中国社会科学,2000,1,73-82+205-206,哲学文化;社会心理;马克思主义,
樊洛平,人道主义:工业题材创作不容回避的主题,郑州大学学报(社会科学版),2000,1,39-44,工业题材文学;人道主义主题;创作流变,郑州大学文化与传播学院!河南郑州450052
黄震,商周之际的社会思潮与法律变革——对《周易·讼卦》的一种法律文化读解,法制与社会发展,2000,2,91-96,法律变革;商周;判例法;利见大人;历史借鉴;汤刑;明德慎罚;利涉大川;《吕刑》;古代法律;,"北京大学法学院!博士生,北京100871"
喻大华,晚清文化保守思潮述论,天津社会科学,2000,1,83-87,文化保守;中体西用;孔教;国粹派,辽宁师范大学历史系!副教授、历史学博士
陈寒鸣,汤显祖与晚明社会思潮,天津社会科学,2000,3,106-110,晚明社会;三教合一;泰州学派;若士;郭正域;《牡丹亭》;李三才;通变;世俗生活;《邯郸记》;,天津市工会管理干部学院!讲师
殷叙彝;林德山,热话题与冷思考(十九)——关于当代西方政治和社会思潮的对话,当代世界与社会主义,2001,3,4月16日,国家干预主义;德国社会民主党;西方政治;第三条道路;米瑟斯;英国工党;福利国家;奥地利学派;政治生活;吉登斯;,"中共中央编译局世界所,中共中央编译局世界所"
曾光光,桐城派与晚清社会思潮,江海学刊,2001,6,127-131,桐城派;顺应;晚清;社会思潮;与世俱进,北京师范大学历史系
王桂妹,五四文化激进主义寻踪,吉林大学社会科学学报,2001,3,104-111,文化激进主义;叛逆品格;社会性焦虑;示范效应,山东大学文学院!山东济南250100
孟鑫,国内学者对西方女权主义七个流派的评介,教学与研究,2001,3,58-62,女权主义;性别差异;男女平等;妇女解放,中国人民大学马克思主义学院!北京100872
常晓静,近代拯救意识与中国新音乐,南开学报,2001,4,34-39,拯救意识;文化拯救;民族拯救;政治拯救;新音乐,南开大学文化素质教学部 天津300071
孙立群,魏晋隐士及其品格,南开学报,2001,5,21-28+53,魏晋隐士;山林之隐;朝隐;田园之隐,南开大学历史学系 天津300071
崔世广,90年代日本的社会思潮浅析,日本学刊,2001,2,92-109,国会法;泡沫经济崩溃;社民党;金融机构;舆论调查;教育改革;放宽限制;政官;参拜靖国神社;单一民族国家;,中国社会科学院日本研究所
张义素,第二届日本研究青年论坛综述——关于“当代日本社会思潮”的探讨,日本学刊,2001,3,138-145,当代日本;论坛综述;政治思潮;中日关系;参拜靖国神社;主流派;历史问题;反共主义;修改宪法;新保守主义;,
谢立中,“后现代性”及其相关概念辨析,社会科学研究,2001,5,110-114,后现代;后现代性;后现代主义;后现代化,北京大学社会学系
金熙德,冷战后日本对外战略论争,世界经济与政治,2001,11,61-65,冷战后;日本对外战略;论争,中国社会科学院日本研究所对外关系研究室
刘小林,论学习西方运动与20世纪初中国社会思潮,史学月刊,2001,5,58-61,学习西方;社会思潮;文化局面,广西师范大学历史系 广西桂林541001
吴功正,唐代服饰美学,思想战线,2001,5,78-80,服饰演变;思潮性质;美感特征;中外文化交流,"江苏社会科学院!江苏南京,210013"
杨伯江,当前日本社会思潮与“新民族主义”,现代国际关系,2001,5,6-11+47,政治思潮;主流派;战争论;对外关系;复活军国主义;社会心理基础;小泽;日美同盟;国际新秩序;国家利益;,
杨明杰,国际社会思潮与“9·11事件”,现代国际关系,2001,10,4月6日,国际社会;国际关系;塔利班;国际问题;反恐怖;纽约世贸中心;行为方式;一连串问题;基辛格;全球主义;,中国现代国际关系研究所军控与安全室!主任研究员
林锦峰,论社会思潮的预测和疏导,现代哲学,2001,2,36-40,精神文明建设;政治生活;正确与错误;资产阶级自由化;社会预测;辩证统一;批评与自我批评;批评和自我批评;现代化建设;社会生活领域;,中山大学政治学与行政学系 邮政编码:510275
胡宝国,魏晋南北朝时期的州郡地志,中国史研究,2001,4,13-25,州郡地志;异物;山水,中国社会科学院历史研究所
谢武军,20世纪90年代中国的保守主义思潮,中共中央党校学报,2001,3,103-109,保守主义;文化保守主义;新保守主义;保守的自由主义,中共中央党校文史教研部 北京 100091
朱靖华,就《中国文学的历史与审美》谈文学史的撰写,中国人民大学学报,2001,2,96-100,文学史研究;思维取向;方法,中国人民大学中文系!北京 100872
张次第,论明代后期通俗小说刊刻的思想特点,郑州大学学报(哲学社会科学版),2001,4,72-75,明代后期;通俗小说;刊刻;特点,郑州大学学报编辑部 河南郑州450052
高万年,论中晚明通俗小说产生的文化背景,郑州大学学报(哲学社会科学版),2001,5,31-34,中晚明;通俗小说;文化背景,驻马店师范高等专科学校中文系 河南驻马店463000
郑永福;吕美颐,论日本对中国清末地方自治的影响,郑州大学学报(哲学社会科学版),2001,6,122-127,清末;地方自治思潮;地方自治实践;日本影响,"郑州大学历史与考古学系,郑州大学历史与考古学系 河南郑州450052 ,河南郑州450052"
郑淮,学习化社会的理念和基础的分析,华南师范大学学报(社会科学版),2001,2,94-98,学习化社会;终身教育;理念;基础,华南师范大学教育科学学院!广东广州510631
陈学超,通俗与闲适:90年代中国散文潮流,西北大学学报(哲学社会科学版),2001,3,122-128,文学思潮;通俗;闲适;散文热,香港教育学院中文系!中国香港
何江;,传媒驶入“对话”时代,中国国情国力,2001,10,58-59,电视节目;地方台;谈话类;《对话》;名牌栏目;三人行;美国总统大选;《焦点访谈》;娱乐类;电视明星;,"广西人民广播电台,"
吴倬,论“两课”教学的目标及其实现方式,中国高等教育,2001,6,13-15,价值观体系;思想政治工作;马克思主义理论;社会主义理想;经济全球化;辩证关系;幸福观;道德品质;价值取向;理论魅力;,清华大学人文社会科学学院!教授教育部“两课”教学指导委员会委员
冒志祥,宋代公文繁荣原因初探,南京师大学报(社会科学版),2002,1,155-160,宋代公文;繁荣原因;国策;科举,南京师范大学文学院 江苏南京210097
林昶,战后日本社会思潮与中日关系研讨会述要,日本学刊,2002,4,154-157,中日关系;中日邦交正常化;两国关系;参拜靖国神社;国家对外政策;国际格局;“中国威胁论”;小泉纯一郎;和平友好;和平与发展;,
罗新慧,礼让与禅让——论周代“让”的社会观念变迁,社会科学战线,2002,6,143-147,礼让;禅让;君主统治;社会思潮,北京师范大学历史系
段维,不应忽视的马克思主义的同盟军——西方马克思主义代表观点与历史地位述评,社会主义研究,2002,2,20-22,评价;西方马克思主义;同盟军,华中师范大学出版社 湖北武汉430079
袁银传,论平均主义的社会思潮长期存在的社会根源,社会主义研究,2002,2,89-91,平均主义;社会思潮;社会根源,武汉大学政治与行政学院 湖北武汉430072
姜辉,《当代国外社会思潮》评介,马克思主义研究,2002,1,86-87,社会矛盾;女权运动;新自由主义;市场社会主义;固有矛盾;思想理论界;社会主义模式;反战运动;西方社会思潮;政治价值取向;,中国社会科学院马列所
侯云灏,“社会改造”思潮的兴起与2O世纪的中国历史学,史学理论研究,2002,2,57-67+161,中国历史学;社会改造;马克思主义史学;近代资本主义;产品交换;个体生产;生产联系;社会性质;历史编纂;新历史考证学;,中国社会科学院世界历史所博士后流动站
苏志宏,论中国哲学的前近代启蒙,文史哲,2002,1,44-48,利玛窦;徐光启;实学,西南交通大学人文学院 四川 成都 610031
邓阿宁,欧洲浪漫主义文学与宗教精神复兴,西南师范大学学报(人文社会科学版),2002,1,161-165,浪漫主义文学;欧洲;宗教精神复兴,重庆师范学院中文系 重庆市400047
刘华英;吴建华;徐恺,论战后日本和平民主主义思潮的变迁——兼谈其对日本政治右倾化的影响,西南师范大学学报(人文社会科学版),2002,6,107-111,日本;和平民主主义思潮;政治右倾化,"西南师范大学历史文化与旅游学院,西南师范大学历史文化与旅游学院,西南师范大学历史文化与旅游学院 重庆市,400715 ,重庆市,400715 ,重庆市,400715"
张卓,从电视节目形态变化看内地传媒角色的变迁,现代传播,2002,1,67-70,电视节目形态;传媒角色变迁;传播观念;社会思潮,武汉大学新闻与传播学院 邮编:430072
申义怀,欧洲政党政治新变化及其影响,现代国际关系,2002,4,24-28+16,欧洲政治;欧洲政党;政党政策,中国现代国际关系研究所欧洲室 主任、研究员
朱旭峰,美国思想库对社会思潮的影响,现代国际关系,2002,8,42-46,美国;思想库;社会思潮;流派;媒体,清华大学公共管理学院 博士生
张睿壮,保守主义及其在美国的演变,现代国际关系,2002,11,37-42,保守主义;政治哲学;社会思潮;美国宪法;布什政府,"南开大学美国研究中心 主任,教授"
黄炎平,阿兰·奈斯论深层生态学,现代哲学,2002,2,64-71,深层生态学;生态智慧T;自我实现;非人类中心主义;内在价值,中南大学文法学院哲学所 副教授 410083
王宏维,女性主义:马克思主义的一个解读模式,学术研究,2002,4,22-27,马克思主义;女性主义;解读模式,"华南师范大学政法学院 教授、博导,广东广州510631"
李伟建,9·11事件与中东社会思潮,西亚非洲,2002,5,14-18+79,9·11事件;中东;社会思潮,上海国际问题研究所中东研究室
胡明扬,关于外文字母词和原装外文缩略语问题,语言文字应用,2002,2,98-101,汉语字母词;外文字母词语;外文缩略语,中国人民大学中文系 北京100872
