,,作者,题名,文献来源,年,卷,期,页码,ISSN,关键词,机构,摘要
1,C,陈岩松;,基于胜任力结构模型的高校辅导员绩效模糊综合评判,江苏高教,2011,No.155,1,102-104,1003-8418,辅导员;胜任力;绩效;模糊评判,南京航空航天大学经济与管理学院;,"结合高校辅导员胜任力结构模型,构建一套合理的、具有较强操作性的评价指标体系,采用模糊综合评价方法对高校辅导员绩效进行评价,可以为辅导员选聘、培训和业绩考核提供可靠依据。"
2,C,姚栋华;,高校职业生涯教育辅导员的专业发展,教育发展研究,2011,v.31;No.302,5,34-37,1008-3855,教师生涯周期;职业生涯发展教育辅导员;专业发展,上海市学生事务中心研究室;,"本文依据教师专业生涯周期的理论,归纳了高校职业生涯教育辅导员所应发挥的作用,分析了这一群体在不同阶段所面临的专业发展需求,并构筑了相应的生涯发展周期。针对这些需求,提出了职业生涯教育辅导员的专业发展策略。"
3,C,杨红君;朱佳;,高校辅导员依恋类型与工作压力、职业倦怠的关系,中国临床心理学杂志,2011,v.19,1,110-112,1005-3611,辅导员;成人依恋;工作压力;职业倦怠,湖南人文科技学院教育科学系;湖南农业大学东方科技学院;,"目的:考察高校辅导员依恋类型与工作压力及职业倦怠的关系。方法:采用关系问卷、工作压力问卷和职业倦怠问卷对322名高校辅导员施测。结果:322名辅导员中,62.1%为安全型依恋,17.7%为忽视型依恋,14.0%为沉迷型依恋,6.2%为恐惧型依恋。安全型依恋的辅导员在工作压力和职业倦怠得分上均显著低于不安全依恋的辅导员,而三种不安全依恋(忽视型、沉迷型和恐惧型)辅导员间的工作压力和职业倦怠没有显著差异。结论:高校辅导员的成人依恋类型对其工作压力和职业倦怠具有显著影响。"
4,C,杜向民;,进一步推进高校辅导员队伍职业化发展路径研究,高校理论战线,2011,,3,48-51,1002-4409,高校辅导员;职业化;路径;推进,长安大学党委;,"当前,在深入推进高校辅导员职业化发展的进程中,一些深层次的问题逐渐显现。因此,必须准确把握高校辅导员职业化建设进程中深层次问题,进一步完善学科专业培养和培训体系,完善制度保证体系,健全职业化推进机制,优化辅导员队伍建设机制和工作模式,建立完善专业协会组织,培育职业文化,加强国际交流,注重形成本国特色,从而大力提升高校辅导员职业化建设的水平。"
5,C,姚军;,论新形势下高校辅导员领导力培养与构建,中国高等教育,2011,No.453,2,41-42,1002-4417,人才培养目标;学生工作;能力体系;综合素质;高等教育环境;斯腾伯格;思想政治教育;校园文化;学生日常思想;价值取向;,盐城工学院;,"当前,高校辅导员已成为学生工作的重要力量,其能力如何,直接关乎高校人才培养目标的实现。而在高校辅导员整个能力体系中,领导力居于核心地位。领导力统领其他各项能力,能够促使辅导员综合素质的不断提高。本"
6,C,陈赞;,高校辅导员管理与心理契约理论应用,中国高等教育,2011,No.452,1,56-58,1002-4417,辅导员管理;心理契约理论;应聘人员;校园文化;人文精神;职业发展空间;行政人员;专业老师;学生工作;教育模式;,苏州大学医学部党工委;,"高校辅导员的选聘成为近年来的一个热点,各大高校的应聘人员之多、学历之高与录取率之低,都令社会瞩目。前些年聘任的辅导员还在调整之中,新一代高学历的辅导员伴随着高校体制变革进入高校教师队伍,带来新"
7,C,王晶;,伦理学视域中的高校辅导员职业幸福及其实现,江苏高教,2011,No.157,3,136-137,1003-8418,高校辅导员;职业幸福;满足,南京邮电大学通信与信息工程学院;,"高校辅导员职业幸福的实现是高校辅导员科学发展观的重要内容之一,由快乐的心理体验和人生重大需要、欲望、目的的实现及生存发展的完满构成,其类型可以分为物质幸福、人际幸福和精神幸福。欲望、才智、努力、机遇、职业道德五要素共同发挥作用,并协调一致,高校辅导员的职业幸福才能较为完满地实现。"
8,C,陈洁;,新时期辅导员队伍文化的内涵及其建设研究——以上海对外贸易学院为例,学术论坛,2011,v.34;No.244,5,205-209,1004-4434,辅导员;文化;内涵,上海对外贸易学院党委;,"加强辅导员队伍文化建设在新的历史时期具有重要的意义,辅导员队伍文化的主要内容是以共识为核心的精神文化、以发展为核心的学习文化、以分享为核心的合作文化。辅导员队伍文化的创建必须充分考虑辅导员队伍的特点,在精神文化的建设上要突出强调形成共同愿景,学习文化的建设要有助于促进博览型学习与专业型学习的结合、团队型学习与个体型学习的结合,合作文化的建设要重在实现一种自然的合作、经常的合作。"
9,C,蒲清平;白凯;赵楠;,高校辅导员职业能力评价研究,高教发展与评估,2011,v.27;No.116,4,95-100,1672-8742,辅导员;职业能力;评价,重庆大学城市建设与环境工程学院;重庆交通大学组织部;,"随着高校辅导员队伍职业化和专业化趋势日益明显,开展高校辅导员职业能力评价对高校辅导员队伍建设和人才培养具有重要作用。以能力本位评价理论和胜任特征模型理论为基础,剖析高校辅导员职业能力评价的层次结构,并对高校辅导员职业能力评价实施提出建议。"
10,C,汪强;汤苗苗;,高校辅导员绩效考核的实施与思考,江苏高教,2011,No.159,5,53-54,1003-8418,高校辅导员;绩效考核;考核制度;考核原则;考核内容,南京工程学院康尼学院;,"高校辅导员队伍是大学生思想政治教育工作一线的组织者、管理者和领导者。辅导员工作对象的复杂性和工作内容的多样性对辅导员自身的素质不断提出新的要求。根据人力资源开发与管理常规,绩效考评的目的是不断提升员工的整体素质,促进员工提高工作效率、效果。对高校辅导员进行绩效考核,不仅是为了年终评优,更重要的是从人力资源开发角度培养一支符合高校人才培养要求的高素质辅导员队伍。通过辅导员岗位绩效考评,为辅导员队伍的岗位培训与开发、奖励制度的制定以及职称评聘、岗位晋升等提供重要依据。"
